"","Name","X","Y","FileName2","TurtleAvailable","Species","Direction","CatchSuccess"
"174","TopRight",92.1405135494798,38.860336627957,"2016_0517_112802_040A_Moment2","NoTurtle","LMB","Upstream",NA
"175","Fish",44.5632899403365,13.1989448316599,"2016_0517_112802_040A_Moment2","NoTurtle","LMB","Upstream",NA
"176","BottomLeft",0,0,"2016_0517_113802_041A_Moment1","NoTurtle","LMB","Downstream",NA
"177","BottomRight",69.3307705899068,0,"2016_0517_113802_041A_Moment1","NoTurtle","LMB","Downstream",NA
"178","TopLeft",-15.38129691265,29.9337797857709,"2016_0517_113802_041A_Moment1","NoTurtle","LMB","Downstream",NA
"179","TopRight",95.4147201837168,29.9337797857709,"2016_0517_113802_041A_Moment1","NoTurtle","LMB","Downstream",NA
"180","Fish",10.8978197849568,21.8636358712621,"2016_0517_113802_041A_Moment1","NoTurtle","LMB","Downstream",NA
"181","BottomLeft",0,0,"2016_0517_113802_041A_Moment2","NoTurtle","RH","Upstream",NA
"182","BottomRight",76.7737887530206,0,"2016_0517_113802_041A_Moment2","NoTurtle","RH","Upstream",NA
"183","TopLeft",-12.2575042017588,32.6898940881587,"2016_0517_113802_041A_Moment2","NoTurtle","RH","Upstream",NA
"184","TopRight",94.505930102322,32.6898940881587,"2016_0517_113802_041A_Moment2","NoTurtle","RH","Upstream",NA
"185","Fish",42.9195071971235,2.33580659044774,"2016_0517_113802_041A_Moment2","NoTurtle","RH","Upstream",NA
"186","BottomLeft",0,0,"2016_0517_113802_041A_Moment3","NoTurtle","LMB","Upstream",NA
"187","BottomRight",57.8297835527654,0,"2016_0517_113802_041A_Moment3","NoTurtle","LMB","Upstream",NA
"188","TopLeft",-23.2123025893273,43.2222158601928,"2016_0517_113802_041A_Moment3","NoTurtle","LMB","Upstream",NA
"189","TopRight",90.1767157094053,43.2222158601928,"2016_0517_113802_041A_Moment3","NoTurtle","LMB","Upstream",NA
"190","Fish",43.5586903980271,14.2336492795148,"2016_0517_113802_041A_Moment3","NoTurtle","LMB","Upstream",NA
"191","BottomLeft",0,0,"2016_0517_113802_041A_Moment4","NoTurtle","RH","Downstream",NA
"192","BottomRight",58.7049400170617,0,"2016_0517_113802_041A_Moment4","NoTurtle","RH","Downstream",NA
"193","TopLeft",-21.1465447175097,41.3846043689368,"2016_0517_113802_041A_Moment4","NoTurtle","RH","Downstream",NA
"194","TopRight",91.034688560057,41.3846043689368,"2016_0517_113802_041A_Moment4","NoTurtle","RH","Downstream",NA
"195","Fish",30.3853461125739,3.35330011837488,"2016_0517_113802_041A_Moment4","NoTurtle","RH","Downstream",NA
"196","BottomLeft",0,0,"2016_0517_113802_041A_Moment5","NoTurtle","RH","Downstream",NA
"197","BottomRight",61.6697044149008,0,"2016_0517_113802_041A_Moment5","NoTurtle","RH","Downstream",NA
"198","TopLeft",-16.263658242382,42.4463523160854,"2016_0517_113802_041A_Moment5","NoTurtle","RH","Downstream",NA
"199","TopRight",90.5445038368357,42.4463523160854,"2016_0517_113802_041A_Moment5","NoTurtle","RH","Downstream",NA
